payment_id,user_id,price,created_at,tariff
1,77831,200.0,2019-08-05 00:00:54,month
2,84576,200.0,2019-08-05 00:01:05,month
3,40981,140.0,2019-08-05 00:03:47,month_30off
4,130565,140.0,2019-08-05 00:09:33,month_30off
5,34758,700.0,2019-08-05 00:12:16,year_30off
6,125958,140.0,2019-08-05 00:14:07,month_30off
7,56929,140.0,2019-08-05 00:14:25,month_30off
8,5853,140.0,2019-08-05 00:17:45,month_30off
9,71658,140.0,2019-08-05 00:17:47,month_30off
10,128591,700.0,2019-08-05 00:18:45,year_30off
11,117269,200.0,2019-08-05 00:20:13,month
12,6249,700.0,2019-08-05 00:21:33,year_30off
13,39583,140.0,2019-08-05 00:22:09,month_30off
14,130128,700.0,2019-08-05 00:23:06,year_30off
15,129148,1000.0,2019-08-05 00:25:36,year
16,60603,140.0,2019-08-05 00:26:30,month_30off
17,35156,700.0,2019-08-05 00:26:37,year_30off
18,96438,700.0,2019-08-05 00:29:23,year_30off
19,134596,200.0,2019-08-05 00:31:31,month
20,27598,140.0,2019-08-05 00:33:06,month_30off
21,92915,140.0,2019-08-05 00:34:02,month_30off
22,121631,700.0,2019-08-05 00:35:07,year_30off
23,150738,700.0,2019-08-05 00:37:35,year_30off
24,86955,700.0,2019-08-05 00:37:59,year_30off
25,35423,700.0,2019-08-05 00:38:24,year_30off
26,148254,140.0,2019-08-05 00:39:10,month_30off
27,15611,140.0,2019-08-05 00:40:09,month_30off
28,46804,140.0,2019-08-05 00:40:40,month_30off
29,141803,700.0,2019-08-05 00:40:42,year_30off
30,65398,140.0,2019-08-05 00:42:03,month_30off
31,51508,700.0,2019-08-05 00:42:42,year_30off
32,73794,140.0,2019-08-05 00:45:09,month_30off
33,83171,700.0,2019-08-05 00:48:09,year_30off
34,59796,700.0,2019-08-05 00:51:04,year_30off
35,62366,140.0,2019-08-05 00:51:24,month_30off
36,1073,140.0,2019-08-05 00:54:03,month_30off
37,53902,140.0,2019-08-05 00:56:02,month_30off
38,76255,140.0,2019-08-05 00:57:07,month_30off
39,94463,1000.0,2019-08-05 01:00:46,year
40,102671,200.0,2019-08-05 01:03:52,month
41,14174,140.0,2019-08-05 01:05:05,month_30off
42,10804,140.0,2019-08-05 01:10:03,month_30off
43,121648,140.0,2019-08-05 01:10:04,month_30off
44,72415,200.0,2019-08-05 01:18:41,month
45,124341,200.0,2019-08-05 01:20:00,month
46,28990,140.0,2019-08-05 01:20:56,month_30off
47,67150,140.0,2019-08-05 01:24:06,month_30off
48,61194,200.0,2019-08-05 01:24:15,month
49,46001,140.0,2019-08-05 01:24:52,month_30off
50,6593,1000.0,2019-08-05 01:26:37,year
51,60920,700.0,2019-08-05 01:28:12,year_30off
52,30575,140.0,2019-08-05 01:28:16,month_30off
53,144377,200.0,2019-08-05 01:28:18,month
54,118206,140.0,2019-08-05 01:29:19,month_30off
55,42713,140.0,2019-08-05 01:31:17,month_30off
56,124081,140.0,2019-08-05 01:33:26,month_30off
57,29816,140.0,2019-08-05 01:49:39,month_30off
58,45143,700.0,2019-08-05 01:53:32,year_30off
59,76550,200.0,2019-08-05 01:53:40,month
60,1561,200.0,2019-08-05 01:56:44,month
61,25779,140.0,2019-08-05 01:57:34,month_30off
62,38963,140.0,2019-08-05 02:04:33,month_30off
63,124985,200.0,2019-08-05 02:05:30,month
64,39434,700.0,2019-08-05 02:06:13,year_30off
65,31358,140.0,2019-08-05 02:09:15,month_30off
66,103055,700.0,2019-08-05 02:11:43,year_30off
67,90197,700.0,2019-08-05 02:18:08,year_30off
68,26272,140.0,2019-08-05 02:20:05,month_30off
69,17313,140.0,2019-08-05 02:40:28,month_30off
70,146871,200.0,2019-08-05 02:47:00,month
71,66808,200.0,2019-08-05 02:47:03,month
72,102176,1000.0,2019-08-05 02:51:07,year
73,146020,1000.0,2019-08-05 02:56:14,year
74,33737,140.0,2019-08-05 02:56:30,month_30off
75,106494,700.0,2019-08-05 02:57:28,year_30off
76,17078,700.0,2019-08-05 03:04:49,year_30off
77,85222,140.0,2019-08-05 03:14:28,month_30off
78,37357,140.0,2019-08-05 03:14:49,month_30off
79,119905,140.0,2019-08-05 03:22:26,month_30off
80,32264,140.0,2019-08-05 03:22:29,month_30off
81,69530,700.0,2019-08-05 03:23:35,year_30off
82,112232,700.0,2019-08-05 03:24:43,year_30off
83,67505,700.0,2019-08-05 03:30:38,year_30off
84,138613,200.0,2019-08-05 03:33:53,month
85,21368,200.0,2019-08-05 03:41:52,month
86,122099,700.0,2019-08-05 03:43:17,year_30off
87,128668,140.0,2019-08-05 03:45:51,month_30off
88,43227,1000.0,2019-08-05 03:46:46,year
89,80320,140.0,2019-08-05 03:51:41,month_30off
90,83887,1000.0,2019-08-05 03:52:14,year
91,103506,700.0,2019-08-05 03:56:31,year_30off
92,115149,140.0,2019-08-05 04:13:12,month_30off
93,122673,200.0,2019-08-05 04:20:04,month
94,128554,140.0,2019-08-05 04:22:23,month_30off
95,17423,700.0,2019-08-05 04:23:20,year_30off
96,146216,700.0,2019-08-05 04:26:40,year_30off
97,36426,700.0,2019-08-05 04:32:07,year_30off
98,85364,700.0,2019-08-05 04:33:47,year_30off
99,109574,140.0,2019-08-05 04:37:25,month_30off
100,136083,700.0,2019-08-05 04:47:23,year_30off
101,131035,140.0,2019-08-05 04:48:42,month_30off
102,147053,700.0,2019-08-05 04:54:26,year_30off
103,57123,140.0,2019-08-05 04:55:24,month_30off
104,6696,140.0,2019-08-05 04:57:12,month_30off
105,66778,140.0,2019-08-05 04:57:57,month_30off
106,72120,200.0,2019-08-05 04:58:32,month
107,19390,700.0,2019-08-05 05:04:13,year_30off
108,58643,140.0,2019-08-05 05:09:44,month_30off
109,89909,200.0,2019-08-05 05:13:48,month
110,138126,140.0,2019-08-05 05:15:24,month_30off
111,64993,140.0,2019-08-05 05:17:13,month_30off
112,78898,140.0,2019-08-05 05:21:22,month_30off
113,76636,700.0,2019-08-05 05:26:29,year_30off
114,88992,140.0,2019-08-05 05:26:52,month_30off
115,10274,700.0,2019-08-05 05:31:12,year_30off
116,16641,700.0,2019-08-05 05:34:52,year_30off
117,131083,700.0,2019-08-05 05:36:36,year_30off
118,69114,200.0,2019-08-05 05:36:49,month
119,91599,140.0,2019-08-05 05:37:34,month_30off
120,75116,700.0,2019-08-05 05:40:23,year_30off
121,80721,140.0,2019-08-05 05:40:33,month_30off
122,16810,700.0,2019-08-05 05:40:43,year_30off
123,43591,140.0,2019-08-05 05:40:45,month_30off
124,96518,200.0,2019-08-05 05:43:46,month
125,89803,140.0,2019-08-05 05:45:43,month_30off
126,103226,200.0,2019-08-05 05:45:45,month
127,103924,140.0,2019-08-05 05:48:19,month_30off
128,7269,200.0,2019-08-05 05:49:28,month
129,31018,200.0,2019-08-05 05:51:26,month
130,90161,200.0,2019-08-05 05:53:44,month
131,38933,200.0,2019-08-05 05:56:02,month
132,4186,140.0,2019-08-05 05:58:13,month_30off
133,102341,200.0,2019-08-05 05:59:56,month
134,123177,140.0,2019-08-05 06:06:13,month_30off
135,73105,140.0,2019-08-05 06:09:12,month_30off
136,19992,140.0,2019-08-05 06:10:08,month_30off
137,139288,200.0,2019-08-05 06:11:09,month
138,43084,200.0,2019-08-05 06:17:09,month
139,103115,140.0,2019-08-05 06:26:58,month_30off
140,81760,140.0,2019-08-05 06:27:15,month_30off
141,48634,140.0,2019-08-05 06:28:54,month_30off
142,34884,1000.0,2019-08-05 06:29:49,year
143,142942,700.0,2019-08-05 06:31:34,year_30off
144,15125,140.0,2019-08-05 06:36:28,month_30off
145,105979,200.0,2019-08-05 06:39:52,month
146,4044,700.0,2019-08-05 06:42:23,year_30off
147,48926,140.0,2019-08-05 06:44:34,month_30off
148,101665,140.0,2019-08-05 06:45:48,month_30off
149,76479,140.0,2019-08-05 06:46:42,month_30off
150,61623,140.0,2019-08-05 06:48:38,month_30off
151,27493,140.0,2019-08-05 06:48:47,month_30off
152,57969,140.0,2019-08-05 06:50:32,month_30off
153,97671,140.0,2019-08-05 06:50:53,month_30off
154,86701,140.0,2019-08-05 06:53:08,month_30off
155,123448,700.0,2019-08-05 06:55:20,year_30off
156,99044,200.0,2019-08-05 06:56:06,month
157,104536,140.0,2019-08-05 06:56:10,month_30off
158,72704,140.0,2019-08-05 07:03:15,month_30off
159,119024,700.0,2019-08-05 07:03:51,year_30off
160,43906,140.0,2019-08-05 07:03:55,month_30off
161,70414,200.0,2019-08-05 07:04:06,month
162,63117,200.0,2019-08-05 07:06:32,month
163,92799,200.0,2019-08-05 07:08:32,month
164,4527,140.0,2019-08-05 07:08:47,month_30off
165,44412,700.0,2019-08-05 07:10:04,year_30off
166,54103,140.0,2019-08-05 07:12:02,month_30off
167,61912,140.0,2019-08-05 07:12:03,month_30off
168,42095,200.0,2019-08-05 07:15:38,month
169,13920,1000.0,2019-08-05 07:17:07,year
170,12652,140.0,2019-08-05 07:18:44,month_30off
171,27112,140.0,2019-08-05 07:22:48,month_30off
172,97263,1000.0,2019-08-05 07:25:02,year
173,87837,700.0,2019-08-05 07:25:34,year_30off
174,136627,700.0,2019-08-05 07:28:04,year_30off
175,36850,1000.0,2019-08-05 07:29:38,year
176,80553,200.0,2019-08-05 07:31:41,month
177,97199,200.0,2019-08-05 07:31:42,month
178,63514,140.0,2019-08-05 07:32:58,month_30off
179,125329,140.0,2019-08-05 07:35:21,month_30off
180,17218,140.0,2019-08-05 07:36:44,month_30off
181,127726,700.0,2019-08-05 07:37:03,year_30off
182,10715,140.0,2019-08-05 07:40:27,month_30off
183,141862,140.0,2019-08-05 07:42:32,month_30off
184,130349,140.0,2019-08-05 07:42:39,month_30off
185,125928,200.0,2019-08-05 07:44:41,month
